# Wordlist

# DATA
ID	ID	ALIGNMENT	COGIDS	CONCEPT	DOCULECT	FORM	SPANISH	TOKENS	VALUE	BORROWING	NOTE	SOURCE
#
1		w a	3	1 OBJECT	Apuri	wa		w a	wa			shimelman2017
115		w a	3	1 OBJECT	Apurimac	wa		w a	wa			camacho2006
386		w a	3	1 OBJECT	Azuay	hua		w a	hua		me llevó; complemento del verbo en la primera persona	cordero1955
387		m a -	4	1 OBJECT	Cacra-Hongos	ma		m a	ma			shimelman2017
502		w a	3	1 OBJECT	Cajamarca	wa		w a	wa		also 3>1	quesada2006
572		w a	3	1 OBJECT	Chachapoyas	wa		w a	wa			taylor1979
631		w a	3	1 OBJECT	Chimborazo	wa		w a	wa		This suffix indicates that the speaker is either the patient or the receiver of the action of the verb. If the verb is ditransitive, the speaker is receiver, not patient: /saki-wa-y/, leave-REC-IMP, ‘let me go’.	
691		w a	3	1 OBJECT	Cuzco	wa		w a	wa			cusihuaman1976
782		m a -	4	1 OBJECT	Ferrenafe	ma		m a	ma			
861		m a -	4	1 OBJECT	Huallaga	ma		m a	ma			
990		m a -	4	1 OBJECT	Huanca	ma		m a	ma			cerron1976
1082		m a -	4	1 OBJECT	Huangascar	ma		m a	ma			shimelman2017
1196		m a -	4	1 OBJECT	HuarazHuailas	ma		m a	ma			parker1976
1346		w a	3	1 OBJECT	Inga	hua		w a	hua		me llevó; complemento del verbo en la primera persona	tandioy1978
1347		w a	3	1 OBJECT	Laraos	wa		w a	wa			taylor1990
1400		w a	3	1 OBJECT	Lincha-Tana	wa		w a	wa			shimelman2017
1514		m aː	4	1 OBJECT	Pacaraos	maa		m aː	maa			adelaar1987
1595		w a	3	1 OBJECT	Pastaza	wa		w a	wa			landerman1973
1660		w a	3	1 OBJECT	SanMartin	wa		w a	wa			coombs1976
1726		m a -	4	1 OBJECT	SanPedro	ma		m a	ma			shimelman2017
1840		w a	3	1 OBJECT	Santiagueno	wa		w a	wa		w can be ommited	juanatey2020
1938		m a -	4	1 OBJECT	Tarma	ma		m a	ma			adelaar1977
2036		w a		1 OBJECT	Ayacucho	wa		w a				
2162		w a		1 OBJECT	Imbabura	wa		w a				cole1985
#
504		ʃ u + i k i	42 43	1 SUBJECT 2 OBJECT HABITUAL PAST	Cajamarca	shu yki		ʃ u + i k i	shu yki			quesada2006
#
784		ɾ ai	45	1 SUBJECT 2 OBJECT PRETERIT	Ferrenafe	ray		ɾ ai	ray			taylor1982
785		ç u + ɾ ai	205 45	1 SUBJECT 2 OBJECT PRETERIT	Ferrenafe	shuray		ç u + ɾ ai	shuray			taylor1982
#
1597		j k i tʃ i	48	1 SUBJECT 2PL OBJECT	Pastaza	ykichi		j k i tʃ i	ykichi			landerman1973
#
1598		s k a j k i tʃ i	50	1 SUBJECT 2PL OBJECT FUTURE	Pastaza	skaykichi		s k a j k i tʃ i	skaykichi			landerman1973
#
3		n - - - - tʃ i k	58	1PL POSSESSOR	Apuri	nchik		n tʃ i k	nchik			shimelman2017
118		n - - - - tʃ i k	58	1PL POSSESSOR	Apurimac	nchik		n tʃ i k	nchik,nchis			camacho2006
221		n - - - - tʃ i k	58	1PL POSSESSOR	Ayacucho	nčik		n tʃ i k	nčik			
389		n - - - - tʃ i k	58	1PL POSSESSOR	Cacra-Hongos	nchik		n tʃ i k	nchik			shimelman2017
505		n - - - - tʃ i k	58	1PL POSSESSOR	Cajamarca	nchik		n tʃ i k	nchik			quesada2006
574		n - - - - tʃ i -	58	1PL POSSESSOR	Chachapoyas	nči		n tʃ i	nči			taylor1979
786		n - - - - tʃ i k	58	1PL POSSESSOR	Ferrenafe	nchik		n tʃ i k	nchik			taylor1982
863		n - - - - tʃ i -	58	1PL POSSESSOR	Huallaga	nči		n tʃ i	nči,ninči, niːkuna		[INCLUSIVA] /-nči(:)/ después de V cortas, el alargamiento se realiza solamente en sílabas abiertas no finales. [EXCLUSIVA] /-:kuna/ después de V .	
991		n - - - - tʃ i k	58	1PL POSSESSOR	Huanca	nchik		n tʃ i k	nchik			cerron1976
1084		n - - - - tʃ i k	58	1PL POSSESSOR	Huangascar	nchik		n tʃ i k	nchik			shimelman2017
1198		n - - - - ts i k	58	1PL POSSESSOR	HuarazHuailas	ntsik		n ts i k	ntsik, nintsik		-ni eufónico en C#/ V# La distinción entre EXCL e INCL no se recoje en la flexión nominal.	parker1976
1349		n - - - - tʃ i k	58	1PL POSSESSOR	Laraos	nchik		n tʃ i k	nchik			taylor1990
1402		n - - - - tʃ i k	58	1PL POSSESSOR	Lincha-Tana	nchik		n tʃ i k	nchik			shimelman2017
1516		n - - - - s i -	58	1PL POSSESSOR	Pacaraos	nsi		n s i	nsi			adelaar1987
1599		n - - - - tʃ i -	58	1PL POSSESSOR	Pastaza	nchi		n tʃ i	nchi			landerman1973
1662		n - - - - tʃ i -	58	1PL POSSESSOR	SanMartin	nchi		n tʃ i	nchi			coombs1976
1728		n - - - - tʃ i k	58	1PL POSSESSOR	SanPedro	nchik		n tʃ i k	nchik			shimelman2017
1841		j - - ʃ -	58	1PL POSSESSOR	Santiagueno	ysh		j ʃ	ysh,ychis			juanatey2020
1842		j tʃ i s -	58	1PL POSSESSOR	Santiagueno	ychis		j tʃ i s	ysh,ychis			juanatey2020
1939		n - - - - tʃ i -	58	1PL POSSESSOR	Tarma	nchi		n tʃ i	nchi, nchik			adelaar1977
1940		n - - - - tʃ i k	58	1PL POSSESSOR	Tarma	nchik		n tʃ i k	nchi, nchik			adelaar1977
2261		n tʃ i s	58	1PL POSSESSOR	Cuzco	nchis		n tʃ i s				
#
121		s q a j k i k u	87	1PL SUBJECT 2S OBJECT	Apurimac	sqaykiku		s q a j k i k u	sqaykiku, ykiku			camacho2006
122		- - - j k i k u	87	1PL SUBJECT 2S OBJECT	Apurimac	ykiku		j k i k u	sqaykiku, ykiku			camacho2006
#
4		- - n tʃ i k	58	1PL VERBAL	Apuri	nchik		n tʃ i k	nchik			shimelman2017
123		s u n + tʃ i s	129 58	1PL VERBAL	Apurimac	sunchis		s u n + tʃ i s	sunchis			parker1976
222		- - n tʃ i k	58	1PL VERBAL	Ayacucho	nčik		n tʃ i k	nčik			
314		- - n tʃ i -	58	1PL VERBAL	Azuay	nchi		n tʃ i	nchi			cordero1955
390		- - n tʃ i k	58	1PL VERBAL	Cacra-Hongos	nchik		n tʃ i k	nchik			shimelman2017
506		- - n tʃ i k	58	1PL VERBAL	Cajamarca	nchik		n tʃ i k	nchik			quesada2006
632		- - n tʃ i k	58	1PL VERBAL	Chimborazo	ncik		n tʃ i k	ncik			beukema1975
787		- - n tʃ i k	58	1PL VERBAL	Ferrenafe	nchik		n tʃ i k	nchik			taylor1982
866		- - n tʃ i -	58	1PL VERBAL	Huallaga	nči		n tʃ i	nči			
992		- - n tʃ i k	58	1PL VERBAL	Huanca	nchik		n tʃ i k	nchik			cerron1976
1085		- - n tʃ i k	58	1PL VERBAL	Huangascar	nchik		n tʃ i k	nchik			shimelman2017
1200		- - n ts i k	58	1PL VERBAL	HuarazHuailas	ntsik		n ts i k	ntsik			parker1976
1273		- - n tʃ i -	58	1PL VERBAL	Inga	nchi		n tʃ i	nchi			tandioy1978
1350		- - n tʃ i k	58	1PL VERBAL	Laraos	nchik		n tʃ i k	nchik			taylor1990
1403		- - n tʃ i k	58	1PL VERBAL	Lincha-Tana	nchik		n tʃ i k	nchik			shimelman2017
1601		- - n tʃ i -	58	1PL VERBAL	Pastaza	nchi		n tʃ i	nchi			landerman1973
1729		- - n tʃ i k	58	1PL VERBAL	SanPedro	nchik		n tʃ i k	nchik			shimelman2017
1843		j ʃ	58	1PL VERBAL	Santiagueno	ysh		j ʃ	ysh,nchis		inclusive	juanatey2020
1844		- - n tʃ i s	58	1PL VERBAL	Santiagueno	nchis		n tʃ i s	ysh,nchis		inclusive	juanatey2020
1941		- - n tʃ i k	58	1PL VERBAL	Tarma	nchik		n tʃ i k	nchik			adelaar1977
2087		n s i		1PL VERBAL	Pacaraos	nsi		n s i				
2109		n tʃ i	58	1PL VERBAL	Chachapoyas	nchi		n tʃ i				taylor1979
2157		n tʃ i		1PL VERBAL	SanMartin	nchi		n tʃ i				
2166		n tʃ i		1PL VERBAL	Imbabura	nchi		n tʃ i				cole1985
2262		n tʃ i s	58	1PL VERBAL	Cuzco	nchis		n tʃ i s				
#
5		tʃ u w a n	111	1PL VERBAL CONDITIONAL	Apuri	chuwan		tʃ u w a n	chuwan			shimelman2017
223		tʃ - w a n	111	1PL VERBAL CONDITIONAL	Ayacucho	čwan		tʃ w a n	čwan			
