ID	ALIGNMENT	COGIDS	CONCEPT	DOCULECT	FORM	SOURCE	TOKENS	VALUE	NOTE	BORROWING
1	w a	3	1 OBJECT	Apuri	wa	shimelman2017	w a	wa		
2	j k i	24	1S SUBJECT 2S OBJECT	Apuri	yki	shimelman2017	j k i	yki		
3	n tʃ i k	58	1PL POSSESSOR	Apuri	nchik	shimelman2017	n tʃ i k	nchik		
4	n tʃ i k	58	1PL VERBAL	Apuri	nchik	shimelman2017	n tʃ i k	nchik		
5	tʃ u - + w a n	111 3	1PL VERBAL CONDITIONAL	Apuri	chuwan	shimelman2017	tʃ u + w a n	chuwan		
6	ʃ u n	111	1PL VERBAL FUTURE	Apuri	shun	shimelman2017	ʃ u n	shun		
7	t a n t a + j	155 156	1S POSSESSOR	Apuri	tanta-y	shimelman2017	t a n t a + j	tanta-y		
8	ʃ q a + j k i	210 24	1S SUBJECT 2S OBJECT FUTURE	Apuri	shqayki	shimelman2017	ʃ q a + j k i	shqayki	variation between sh and s	
9	k a + n i	234 235	1S VERBAL	Apuri	ka-ni	shimelman2017	k a + n i	ka-ni		
10	ʃ a q -	280	1S VERBAL FUTURE	Apuri	shaq	shimelman2017	ʃ a q	shaq		
11	w a q	325	2S CONDITIONAL	Apuri	waq	shimelman2017	w a q	waq		
12	ʃ u - - -	337	2S OBJECT	Apuri	shu	shimelman2017	ʃ u	shu		
13	j k i	348	2S POSSESSOR	Apuri	yki	shimelman2017	j k i	yki		
14	w a + n k i	3 370	2S SUBJECT 1S OBJECT	Apuri	wanki	shimelman2017	w a + n k i	wanki		
15	n k i	370	2S VERBAL	Apuri	nki	shimelman2017	n k i	nki		
16	n q a	446	3S FUTURE	Apuri	nqa	shimelman2017	n q a	nqa		
17	n	466	3S POSSESSOR	Apuri	n	shimelman2017	n	n		
18	w a + n tʃ i k	3 486	3S SUBJECT 1PL OBJECT	Apuri	wanchik	shimelman2017	w a + n tʃ i k	wanchik		
19	w a + n	3 546	3S SUBJECT 1S OBJECT	Apuri	wan	shimelman2017	w a + n	wan		
20	ʃ u - - - + n k i	337 528	3S SUBJECT 2S OBJECT	Apuri	shunki	shimelman2017	ʃ u + n k i	shunki		
21	n	546	3S VERBAL	Apuri	n	shimelman2017	n	n		
22	p a q	1	ABLATIVE	Apuri	paq	shimelman2017	p a q	paq		
23	- ʃ i	598	ACCOMPANIMENT	Apuri	shi	shimelman2017	ʃ i	shi,si		
24	- s i	598	ACCOMPANIMENT	Apuri	si	shimelman2017	s i	shi,si		
25	t a	614	ACCUSATIVE	Apuri	ta	shimelman2017	t a	ta		
26	p i s	639	ADDITIVE	Apuri	pis	shimelman2017	p i s	pis,s		
28	q	674	AGENTIVE	Apuri	q	shimelman2017	q	q		
29	p a q	720	BENEFACTIVE	Apuri	paq	shimelman2017	p a q	paq		
30	tʃ i	766	CAUSATIVE	Apuri	chi	shimelman2017	tʃ i	chi		
31	p u n i	787	ASSERTIVE	Apuri	puni	shimelman2017	p u n i	puni		
32	m u	800	CISLOCATIVE	Apuri	mu	shimelman2017	m u	mu		
33	h i n a	824	COMPARATIVE	Apuri	hina	shimelman2017	h i n a	hina		
34	m a n	853	CONDITIONAL	Apuri	man	shimelman2017	m a n	man		
35	ɾ a q	877	CONTINUATIVE	Apuri	raq	shimelman2017	ɾ a q	raq		
